Country,Category,Description,Units,Year,Month,Quantity,Value,M2
Chad,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,100,1576,100
Chile,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,8965,460307,8965
Chile,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,31188,810506,31188
Chile,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,18648,724211,18648
Chile,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,21238,916123,21238
Chile,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,18719,731909,18719
Chile,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,18854,804181,18854
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,418164649,600828235,418164649
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,402647301,570314189,402647301
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,355864462,524929805,355864462
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,344013375,483706965,344013375
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,446041940,624572168,446041940
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,518603392,765841079,518603392
Colombia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,1404336,13125051,1404336
Colombia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,1717169,15691086,1717169
Colombia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,2440214,20599841,2440214
Colombia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,2137128,19026144,2137128
Colombia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,2473074,20503563,2473074
Colombia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,1956494,18552397,1956494
"Congo, Democratic Republic of",1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,4,735,4
"Congo, Democratic Republic of",1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,983,3505,983
"Congo, Democratic Republic of",1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,49,970,49
"Congo, Republic of",1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,30,479,30
"Congo, Republic of",1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,45,1111,45
Cook Islands,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,1766,22873,1766
Costa Rica,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,104607,708436,104607
Costa Rica,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,123250,706828,123250
Costa Rica,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,182826,1214558,182826
Costa Rica,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,83376,566128,83376
Costa Rica,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,164075,1058269,164075
Costa Rica,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,123005,803545,123005
Cote D’Ivoire,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,581,2455,581
Cote D’Ivoire,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,161,900,161
Cote D’Ivoire,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,114,761,114
Cote D’Ivoire,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,606,1259,606
Cote D’Ivoire,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,14772,48770,14772
Cote D’Ivoire,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,12,400,12
Croatia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,37186,589080,37186
